id,description,fr
print.cert.coll.id.actions.cancel,The for the dialog when details of the collector not verified,Annuler
print.cert.coll.id.actions.send,The for the dialog when details of the collector not verified,Confirmer
print.cert.coll.id.description,The description for the dialog when details of the collector not verified,"Sachez que si vous continuez, vous serez responsable de l'émission d'un certificat sans la preuve d'identité nécessaire du collecteur."
print.cert.coll.idCheck.actions.noVer,The label for id check component action when does not verify details,L'identité ne correspond pas
print.cert.coll.idCheck.actions.ver,The label for id check component action when verify details,Vérifié
print.cert.coll.other.aff.check,Label for no affidavit checkbox,Ils n'ont pas d'affidavit signé.
print.cert.coll.other.aff.description,Modal description for other coller form submission without signed affidavit,"Sachez que si vous continuez, vous serez responsable de l'émission d'un certificat sans les preuves nécessaires de la part de l'agent de recouvrement."
print.cert.coll.other.aff.error,Form level error for other collector affidavit form,Joignez une déclaration sous serment signée ou cochez la case si vous n'en avez pas.
print.cert.coll.other.aff.form.title,Form title for other collector affidavit form,Joindre une déclaration sous serment signée
print.cert.coll.other.aff.label,File label for signed affidavit,Affidavit signé
print.cert.coll.other.aff.paragraph,Form paragraph for other collector affidavit form,Ce document doit prouver clairement que la personne est habilitée à collecter le certificat.
print.cert.coll.other.aff.title,Modal title for other coller form submission without signed affidavit,Continuer sans affidavit signé ?
print.certificate.addAnotherSignature,,Ajouter un autre
print.certificate.birthService,Amount due on certificate for birth label,Service: <strong>Enregistrement de la naissance après  {service} de D.o.B.</strong><br/>Montant dû:
print.certificate.button.confirmPrint,The text for print button,"Oui, imprimer le certificat"
print.certificate.button.makeCorrection,The label for correction button of print action,"Non, faites la correction"
print.certificate.certificatePreview,The title for certificate preview form,Aperçu du certificat
print.certificate.collectPayment,The label for collect payment paragraph,"Veuillez encaisser le paiement, imprimer le reçu et le remettre au bénéficiaire."
print.certificate.collector.father,The label for select value when father is the collector of certificate,Père
print.certificate.collector.form.error,Form level error for collector form,Veuillez sélectionner la personne qui collecte le certificat
print.certificate.collector.form.error.template,Form level error for collector certificate template,Veuillez sélectionner le type de certificat
print.certificate.collector.idCheck.title,The title for id check component,Vérifier leur identité
print.certificate.collector.idCheckDialog.title,The title for the dialog when details of the collector not verified,Continuer sans preuve d'identité ?
print.certificate.collector.informant,The label for select value when informant is the collector of certificate,Informateur
print.certificate.collector.mother,The label for select value when mother is the collector of certificate,Mère
print.certificate.collector.other,The label for select value when the collector of certificate is other person,Autre
print.certificate.collector.other.form.error,Form level error for other collector information form,Remplissez tous les champs obligatoires
print.certificate.collector.other.title,Title for other collector form,Quelle est son identité et son nom ?
print.certificate.collector.whoToCollect,The label for collector of certificate select,Certifier l'enregistrement
print.certificate.deathService,Amount due on certificate for death label,Service: <strong>Enregistrement du décès après {service} de D.o.D.</strong><br/>Montant dû:
print.certificate.form.name,The title of review button in list expansion actions,Imprimer
print.certificate.form.title,The title of review button in list expansion actions,Imprimer le certificat
print.certificate.manualPaymentMethod,The label for select option for manual payment method,Manuel
print.certificate.noLabel,,
print.certificate.noPayment,The title for no payment section,Aucun paiement requis
print.certificate.onlineOnly,Print certificate online only message,L'impression du certificat est une action en ligne uniquement. Veuillez vous connecter pour imprimer le certificat.
print.certificate.payment,The title for payment section,Le paiement est requis
print.certificate.paymentAmount,The label for payment amount subsection,৳ {paymentAmount}
print.certificate.paymentInstruction,Description for payment section,"Veuillez encaisser le paiement, imprimer le reçu et le remettre au bénéficiaire."
print.certificate.paymentMethod,The label for payment method select,Mode de paiement
print.certificate.printReceipt,The label for print receipt button,Imprimer le reçu
print.certificate.queryError,The error message shown when a query fails,Une erreur s'est produite lors de la recherche de données d'enregistrement des naissances.
print.certificate.review.description,Certificate review description,Veuillez confirmer que l'informateur a vérifié que les informations figurant sur le certificat sont correctes et que celui-ci est prêt à être imprimé.
print.certificate.review.modal.body.print,Print certificate modal body text,Un Pdf du certificat s'ouvrira dans un nouvel onglet que vous pourrez imprimer. Cet enregistrement sera ensuite déplacé vers votre file d'attente de travail prêt à émettre
print.certificate.review.modal.body.printAndIssue,Print certificate modal body text,Ceci générera une copie certifiée du dossier à imprimer.
print.certificate.review.printAndIssueModalTitle,Print and issue certificate modal title text,Imprimer une copie certifiée ?
print.certificate.review.printModalTitle,Print certificate modal title text,Imprimer le certificat ?
print.certificate.review.title,Certificate review title,Prêt à certifier ?
print.certificate.section.title,The title of print certificate action,Certifier l'enregistrement
print.certificate.selectSignature,The label for choose signature select,Sélectionner les signatures électroniques
print.certificate.serviceMonth,The label for service paragraph,"Service: <strong>Enregistrement de la naissance après  {service, plural, =0 {0 month} un {1 month} other{{service} months}} of D.o.B.</strong><br/>Montant dû:"
print.certificate.toast.message,Floating Toast message upon certificate ready to print,Le certificat est prêt à être imprimé
print.certificate.userReviewed,,L'informateur a examiné et confirmé que les informations figurant sur le certificat sont correctes.
print.declaration.civilRegistrationOffice,Label for declaration details table entry,Bureau d'état civil
print.declaration.informantAttestation,Text for declaration details table entry,"J’atteste avoir reçu cetter déclaration de {eventType, select, birth{naissance} death{décès} marriage{mariage} other{}}"
print.declaration.placeOfDeclaration,Label for declaration details table entry,Lieu de déclaration
print.declaration.warning.declarationDetails,Warning text that shows before declaration details,Partie réservée à l’officier d’état civil
printAction.description,The description for print action,Veuillez confirmer que l'informateur a vérifié que les informations figurant sur le certificat sont correctes et que celui-ci est prêt à être imprimé.
printAction.title,The title for print action,Imprimer le certificat
record-corrected.summary.section.title,Make corrections section title,Correction(s)
record.certificate.collectedInAdvance,Table column header showing collector info in record audit,Imprimé à l'avance par
record.certificate.collector,Table column header showing collector info in record audit,Contrôle d'identité
recordAudit.archive.confirmation.body,Confirmation body for archiving a declaration,L'archivage retirera cette déclaration du traitement actif tout en la conservant à des fins d'enregistrement. Les déclarations archivées ne peuvent pas être modifiées sauf si elles sont réintégrées.
recordAudit.archive.confirmation.title,Confirmation title for archiving a declaration,Archiver la déclaration ?
recordAudit.archive.status,Archived status,Archivé
recordAudit.contact,Contact for record audit,Contact
recordAudit.dateOfBirth,Label for date of birth,Date de naissance
recordAudit.dateOfDeath,Label for date of death,Date de décès
recordAudit.dateOfMarriage,Label for date of marriage,Date du mariage
recordAudit.declaration.markAsDuplicate,,Marqué comme un doublon
recordAudit.declaration.reinstateDialog.actions.cancel,Button label for the dialog when cancel reinstate declaration,Annuler
recordAudit.declaration.reinstateDialog.actions.confirm,Button label for the dialog when confirm reinstate declaration,Confirmer
recordAudit.declaration.reinstateDialogDescription,Description for the dialog when reinstate declaration,Cette opération rétablira la demande dans son statut initial et l'ajoutera à votre file d'attente.
recordAudit.declaration.reinstateDialogTitle,Title for the dialog when reinstate declaration,Rétablir la déclaration ?
recordAudit.history.started,Declaration Started,Démarré
recordAudit.noContact,No contact for record audit,Pas de coordonnées fournies
recordAudit.noDateOfBirth,Label for date of birth not available,Pas de date de naissance
recordAudit.noDateOfDeath,Label for date of death not available,Pas de date de décès
recordAudit.noDateOfMarriage,Label for date of marriage not available,Pas de date de mariage
recordAudit.noName,Label for name not available,Aucun nom n'a été fourni
recordAudit.noPlaceOfBirth,Label for place of birth not available,Pas de lieu de naissance
recordAudit.noPlaceOfDeath,Label for place of death not availale,Pas de lieu de décès
recordAudit.noPlaceOfMarriage,Label for place of marriage not availale,Pas de lieu de mariage
recordAudit.noStatus,Label for status not available,Pas de statut
recordAudit.noTrackingId,Label for tracking id not available,Pas d'identifiant de suivi
recordAudit.noType,Label for type of event not available,Aucun événement
recordAudit.placeOfBirth,Label for place of birth,Lieu de naissance
recordAudit.placeOfDeath,Label for place of death,Lieu de décès
recordAudit.placeOfMarriage,Label for place of marriage,Lieu du mariage
recordAudit.regAction.approvedCorrection,Approved Correction action,Correction approuvée
recordAudit.regAction.assigned,Assigned action,Assigné
recordAudit.regAction.corrected,Corrected action,Enregistrement corrigé
recordAudit.regAction.downloaded,Retrieved action,Récupéré par
recordAudit.regAction.flaggedAsPotentialDuplicate,Flagged as potential duplicate status message for record audit,Marqué comme doublon potentiel
recordAudit.regAction.markedAsDuplicate,Marked as a duplicate status message for record audit,Marqué comme un doublon
recordAudit.regAction.markedAsNotDuplicate,Marked not a duplicate status message for record audit,Marqué comme non dupliqué
recordAudit.regAction.reinstated,Reinstated action,"Réintégré à {regStatus, select, validated{prêt pour la révision} in_progress{en cours} declared{prêt pour la révision} rejected{nécessite des mises à jour} other{}}"
recordAudit.regAction.rejectedCorrection,Rejected Correction action,Correction rejetée
recordAudit.regAction.requestedCorrection,Requested Correction action,Correction demandée
recordAudit.regAction.unassigned,Unassigned action,Non assigné
recordAudit.regAction.verified,Verified action,Certificat vérifié
recordAudit.regAction.viewed,Viewed Record action,Vu
recordAudit.regStatus.archived,Label for registration status archived,Archivé
recordAudit.regStatus.certified,Label for registration status certified,Certifié
recordAudit.regStatus.correctionRequested,Label for when someone requested correction,Correction demandée
recordAudit.regStatus.declared,Label for registration status declared,Déclaration initiée
recordAudit.regStatus.declared.sentNotification,Field agent sent notification,Envoi d'une notification pour examen
recordAudit.regStatus.issued,Label for registration status Issued,Émis
recordAudit.regStatus.registered,Label for registration status registered,Enregistré
recordAudit.regStatus.rejected,A label for registration status rejected,Rejeté
recordAudit.regStatus.updatedDeclaration,Declaration has been updated,Mise à jour de
recordAudit.regStatus.waitingValidation,Label for registration status waitingValidation,En attente de validation
recordAudit.registrationNo,Label for Event Registration Number,Numéro d'enregistrement
recordAudit.rn,Label for Birth Registration Number,N ° d'enregistrement.
recordAudit.status,Label for status,Statut
recordAudit.trackingId,Label for tracking id,ID de suivi
recordAudit.type,Label for event type,Événement
regHome.archived,Label for registration status archived,Archivé
regHome.certified,Label for registration status certified,Certifié
regHome.inPro.selector.field.agents,The title of In progress field agents,Agents de terrain
regHome.inPro.selector.hospital.drafts,The title of In progress Hospitals,Système de santé
regHome.inPro.selector.own.drafts,The title of In progress own drafts,Mes brouillons
regHome.inProgress,The title of In progress,En cours
regHome.issued,Label for registration status issued,Émis
regHome.outbox.failed,Label for declaration status failed,Échec de l'envoi
regHome.outbox.retry,"Copy for ""Retry"" button in Outbox shown for records that failed to send",Réessayer
regHome.outbox.statusArchiving,Label for application status Archiving,Archivage en cours
regHome.outbox.statusCertifying,Label for declaration status Certifying,Certification en cours...
regHome.outbox.statusIssuing,Label for declaration status Issuing,En cours d'émission...
regHome.outbox.statusRegistering,Label for declaration status Registering,Enregistrement en cours...
regHome.outbox.statusReinstating,Label for application status Reinstating,Rétablissement en cours
regHome.outbox.statusRejecting,Label for declaration status Rejecting,Renvoie pour mise à jour
regHome.outbox.statusRequestingCorrection,Label for declaration status Requesting correction,Correction en cours
regHome.outbox.statusSendingForApproval,Label for declaration status waiting for validate,Envoi pour approbation...
regHome.outbox.statusSubmitting,Label for declaration status submitting,Envoi en cours...
regHome.outbox.statusWaitingToBeArchived,Label for application status waiting to be archived,En attente d'être archivé
regHome.outbox.statusWaitingToBeReinstated,Label for application status waiting to be reinstated,Attendre d'être réintégré
regHome.outbox.statusWaitingToCertify,Label for declaration status waiting for certify,En attente de certification
regHome.outbox.statusWaitingToIssue,Label for declaration status waiting for certify,En attente d'émission
regHome.outbox.statusWaitingToRegister,Label for declaration status waiting for register,En attente d'enregistrement
regHome.outbox.statusWaitingToReject,Label for declaration status waiting for reject,En attente d'envoi pour les mises à jour
regHome.outbox.statusWaitingToRequestCorrection,Label for declaration status waiting for request correction,En attente de correction
regHome.outbox.statusWaitingToSubmit,Label for declaration status waiting for reject,En attente d'envoi
regHome.outbox.statusWaitingToValidate,Label for declaration status waiting for validate,En attente d'envoi pour approbation
regHome.outbox.waitingToRetry,Label for declaration status waiting for connection,Attendre de réessayer
regHome.readyForReview,The title of ready for review,Prêt pour l'examen
regHome.readyToPrint,The title of ready to print tab,Prêt à imprimer
regHome.registrationNumber,The heading of registration no. column,N° d'enregistrement
regHome.requestedCorrection,Label for registration status requested correction,Correction demandée
regHome.sentForApprovals,The title of sent for approvals tab,Envoyé pour approbation
regHome.sentForExternalValidation,The label for external validation waiting duration column,Envoyé pour validation externe
regHome.sentForUpdates,The title of sent for updates tab,Envoyé pour mise à jour
regHome.table.label,Results label at the top of the data table component,Résultats
regHome.table.label.action,Label for action in work queue list item,Action
regHome.table.label.declarationDate,Label for declaration date in work queue list item,Déclaration envoyée
regHome.table.label.registeredDate,Label for date of registration in work queue list item,Déclaration enregistrée
regHome.val.regAgent.tooltip,Text to display for validated declaration as tooltip,La déclaration a été validée et est en attente d'approbation
regHome.validated.registrar.tooltip,Text to display for validated declaration as tooltip,La déclaration a été validée par un agent d'enregistrement
regHome.waitingForExternalValidation,The title of waiting for external validation,En attente d'une validation externe
regHome.workqueue.downloadDeclarationFailed,Label for declaration downloading failed,Échec du téléchargement de la déclaration. Veuillez réessayer
register.SelectContactPoint.phoneNoError,Phone no error text,Numéro de portable non valide
register.eventInfo.birth.listItem0,Event info bullet list item for birth,Je suis ici pour remplir la déclaration de naissance pour vous.
register.eventInfo.birth.listItem1,Event info bullet list item for birth,"Une fois que j'aurai rempli la déclaration, elle sera envoyée au bureau d'enregistrement pour examen."
register.eventInfo.birth.listItem2,Event info bullet list item for birth,Attendez un SMS vous indiquant quand vous devez vous rendre au bureau pour retirer le certificat - Prenez votre carte d'identité avec vous.
register.eventInfo.death.listItem0,Event info bullet list item for death,Je suis ici pour remplir la déclaration de décès pour vous.
register.eventInfo.death.listItem1,Event info bullet list item for death,"Une fois que j'aurai rempli la déclaration, elle sera envoyée au bureau d'enregistrement pour examen."
register.eventInfo.death.listItem2,Event info bullet list item for death,Attendez un SMS vous indiquant quand vous devez vous rendre au bureau pour retirer le certificat - Prenez votre carte d'identité avec vous.
register.eventInfo.event.title,,"Présentez le processus d'enregistrement des {eventType, select, birth{naissance} death{décès} other{mariage}} à l'informateur."
register.eventInfo.marriage.listItem0,Event info bullet list item for marriage,Je suis ici pour remplir la déclaration d'enregistrement du mariage pour vous.
register.eventInfo.marriage.listItem1,Event info bullet list item for marriage,"Une fois que j'aurai complété la déclaration, elle sera envoyée au bureau d'enregistrement pour examen."
register.eventInfo.marriage.listItem2,Event info bullet list item for marriage,Attendez un SMS vous indiquant quand vous rendre au bureau pour retirer le certificat - Prenez votre pièce d'identité avec vous
register.form.modal.desc.deleteDeclarationConfirm,Description for delete declaration confirmation modal,Êtes-vous certain de vouloir supprimer ce projet de formulaire de déclaration? Veuillez noter que cette action ne peut pas être annulée.
register.form.modal.desc.exitWithoutSavingDeclarationConfirm,Description for exit declaration without saving confirmation modal,Vous avez des modifications non enregistrées sur votre formulaire de déclaration. Voulez-vous vraiment quitter sans enregistrer ?
register.form.modal.desc.exitWithoutSavingModalForCorrection,Description for exit declaration without saving confirmation modal for correct record,Êtes-vous sûr de vouloir quitter ? Les corrections que vous avez apportées ne seront pas sauvegardées.
register.form.modal.desc.saveCorrectionConfirm,Description for save correction confirmation modal,Le déclarant sera informé de cette correction et un procès-verbal de cette décision sera enregistré
register.form.modal.desc.saveCorrectionReject,Description for reject correction modal,Cette décision sera notifiée au déclarant et un procès-verbal de cette décision sera enregistré
register.form.modal.desc.saveDeclarationConfirm,Description for save declaration confirmation modal,Toutes les données saisies seront conservées en toute sécurité pour de futures modifications. Êtes-vous prêt à enregistrer les modifications apportées à ce formulaire de déclaration?
register.form.modal.desc.validateConfirmation,Description for validate confirmation modal,Cette déclaration sera envoyée pour approbation avant l'enregistrement.
register.form.modal.description.deleteDeclarationConfirm,Description for delete declaration confirmation modal,Êtes-vous sûr de vouloir supprimer cette déclaration ?
register.form.modal.submitDescription,Submit description text on submit modal,"En cliquant sur Soumettre, vous confirmez que l'informateur a lu et revu les informations et qu'il comprend que ces informations seront partagées avec les autorités de l'état civil."
register.form.modal.title.deleteDeclarationConfirm,Title for delete declaration confirmation modal,Supprimer le brouillon?
register.form.modal.title.exitWithoutSavingDeclarationConfirm,Title for exit declaration without saving confirmation modal,Quitter sans enregistrer les modifications?
register.form.modal.title.exitWithoutSavingModalForCorrection,Title for exiting correction record without saving confirmation,Quitter l'enregistrement correct ?
register.form.modal.title.saveCorrectionConfirm,Title for save correction confirmation modal,Approuver la correction ?
register.form.modal.title.saveCorrectionReject,Title for reject correction modal,Rejeter la correction ?
register.form.modal.title.saveDeclarationConfirm,Title for save declaration confirmation modal,Enregistrer et quitter?
register.form.modal.title.validateConfirmation,Title for validate confirmation modal,Envoyer pour approbation ?
register.form.newVitalEventRegistration,The message that appears for new vital event registration,"{event, select, birth {Naissance} death {Décès} marriage {Mariage} divorce {Divorce} other {Adoption}} déclaration"
register.form.previewEventRegistration,The message that appears for new birth registrations,"{event, select, birth {Naissance} death {Décès} marriage {Mariage} divorce {Divorce} other {Adoption}} Declaration Preview"
register.form.required,Required field error message,Ce champ est obligatoire
register.form.reviewEventRegistration,The message that appears for new birth registrations,"{event, select, birth {Naissance} death {Décès} marriage {Mariage} divorce {Divorce} other {Adoption}} Registration Review"
register.form.section.preview.name,Form section name for Preview,Prévisualiser
register.form.section.preview.title,Form section title for Preview,Prévisualiser
register.registerForm.queryError,The error message shown when a search query fails,"La page ne peut être chargée pour le moment en raison d'une faible connectivité ou d'une erreur de réseau. Veuillez cliquer sur actualiser pour réessayer, ou réessayer plus tard."
register.selectInformant.birthErrorMessage,Label for birth error message,Veuillez sélectionner qui est présent et qui fait la demande
register.selectInformant.birthInformantTitle,Who is applying for birth registration,Type d'informateur
register.selectInformant.deathErrorMessage,Label for death error message,Veuillez sélectionner le lien de parenté avec la personne décédée.
register.selectInformant.deathInformantTitle,Who is applying for death registration,Quel est le lien de parenté de l'informateur avec la personne décédée ?
register.selectInformant.marriageInformantTitle,Who is applying for marriage registration,Coordonnées de l'informateur
register.selectInformant.newBirthRegistration,The title that appears for new birth registrations,Nouvelle déclaration de naissance
register.selectInformant.newDeathRegistration,The title that appears for new death registrations,Nouvelle déclaration de décès
register.selectInformant.newMarriageRegistration,The title that appears for new marriage registrations,Nouvelle déclaration de mariage
register.selectInformant.parents,The description that appears when selecting the parent as informant,Mère et père
register.selectVitalEvent.backToReviewButton,,Retour à l'examen
register.selectVitalEvent.errorMessage,Error Message to show when no event is being selected,Veuillez sélectionner le type d'événement
register.selectVitalEvent.registerNewEventHeader,The section heading on the page,What type of event do you want to declare?
register.selectVitalEvent.registerNewEventHeading,The section heading on the page,Quel type d'événement voulez-vous déclarer ?
register.selectVitalEvent.registerNewEventTitle,The title that appears on the select vital event page,Nouvelle déclaration
rejectModal.archive,The label for archive button of reject modal,Archiver
rejectModal.markAsDuplicate,The label for mark as duplicate checkbox of reject modal,Marquer comme duplicata
rejectModal.sendForUpdate,The label for send For Update button of reject modal,Envoyer pour mise à jour
rejectModal.title,The title for reject modal,Quelle mise à jour la déclaration nécessite-t-elle ?
reloadmodal.body,Body of reload modal,Une nouvelle version de {app_name} est disponible. Veuillez effectuer la mise à jour pour continuer.
reloadmodal.button.update,Label of update button,Mise à jour
reloadmodal.title,Title when update is available,Mise à jour disponible
resend.sms,Text for button that resend SMS or email verification code,"Renvoyer un {notificationMethod, select, sms {SMS} email {Email} other {}}"
resetCredentials.emailAddressConfirmation.form.body.header,Form body header used in the body of email address confirmation step,Entrez votre adresse email
resetCredentials.forgottenItem.form.body.header,Body header for forgotten item form,Qu'avez-vous oublié ?
resetCredentials.forgottenItem.form.title,Title used for forgotten item form,Impossible de se connecter
resetCredentials.form.title,Title used reset credentials forms,"{forgottenItem, select, username {Demande de rappel de nom d'utilisateur} password {Réinitialisation du mot de passe} other {}}"
resetCredentials.label.field.answer,Label used for answer input field,Réponse
resetCredentials.label.field.verificationCode,Label used for verification code input field,Code de vérification (6 chiffres)
resetCredentials.option.password,Option used for password,Mon mot de passe
resetCredentials.option.username,Option used for username,Mon nom d'utilisateur
resetCredentials.phoneNumberConfirmation.form.body.header,Form body header used in the body of phone number confirmation step,Quel est votre numéro de téléphone ?
resetCredentials.recoveryCodeEntry.codeResent.form.body.header,The title that appears in step two of the form after resend button click,Envoi du code de vérification
resetCredentials.recoveryCodeEntry.codeResent.form.body.subheader,The message that appears when the resend button is clicked.,Nous venons de vous renvoyer un autre code à {number}.
resetCredentials.recoveryCodeEntry.form.body.header,Form body header used for recovery code entry step,Entrez le code de récupération à 6 chiffres
resetCredentials.recoveryCodeEntry.form.body.subheader,Form body subheader used for recovery code entry step in mobile flow,Le code de récupération a été envoyé à votre numéro de téléphone. Veuillez entrer le code. Vous ne l'avez pas reçu ?
resetCredentials.recoveryCodeEntry.form.body.subheader.email,Form body subheader used for recovery code entry step in email flow,Le code de récupération a été envoyé à votre adresse e-mail. Veuillez entrer le code. Vous ne l'avez pas reçu ?
resetCredentials.securityQuestion.form.body.subheader,Form body subheader used for security question step,Il s'agit d'une des questions de sécurité que vous choisissez lors de la création de votre compte
resetCredentials.success.page.subtitle.email,Subtitle for success page for email,"{forgottenItem, select, username {Vérifiez votre e-mail pour vous rappeler votre nom d'utilisateur.} password {Vous pouvez maintenant vous connecter avec votre nouveau mot de passe} other {}}"
resetCredentials.success.page.subtitle.phone,Subtitle for success page for phone,"{forgottenItem, select, username {Vérifiez votre téléphone pour vous rappeler votre nom d'utilisateur.} password {Vous pouvez maintenant vous connecter avec votre nouveau mot de passe} other {}}"
resetCredentials.success.page.title,Title for success page,"{forgottenItem, select, username {Rappel de l'identifiant envoyé} password {Réinitialisation du mot de passe réussie} other {}}"
review.actions.desc.regConfComp,,"En cliquant sur Enregistrer, vous confirmez que les informations sont correctes et ont été vérifiées par l'informateur. L'informateur comprend qu'elles seront utilisées pour enregistrer la naissance et à des fins de planification. En enregistrant cette naissance, un certificat de naissance sera généré avec votre signature pour être délivré."
review.actions.desc.regConfInComp,,Des informations obligatoires sont manquantes. Veuillez ajouter ces informations afin de pouvoir terminer le processus d'enregistrement.
review.actions.description,,"En vous enregistrant, vous confirmez que vous avez examiné cette déclaration et que vous êtes convaincu qu'elle remplit les conditions requises pour l'enregistrement."
review.actions.description.confirmComplete,Description for review action component when complete declaration,"En envoyant cette déclaration pour examen, vous confirmez que les informations ont été examinées par l'informateur et qu'il sait qu'il recevra un {deliveryMethod} avec un identifiant de suivi et des détails sur la manière de récupérer l'acte de naissance."
review.actions.description.confirmInComplete,Description for review action component when incomplete declaration,"En envoyant cette déclaration {deliveryMethod}omplète, vous créez un enregistrement numérique. Nous informons l'informateur qu'il recevra un {deliveryMethod} avec un identifiant de suivi. Il en aura besoin pour compléter la déclaration dans un bureau d'enregistrement dans les 30 jours. L'informateur devra fournir toutes les informations obligatoires avant que la naissance puisse être enregistrée."
review.actions.description.hasError,Description for review action component when declaration has errors on fields,Veuillez vous assurer que tous les champs sont vides ou qu'ils contiennent une valeur valide.
review.actions.title.declarationStatus,Title for review action component,"Déclaration {completeDeclaration, select, true {complet} other {incomplet}}"
review.actions.title.registerActionTitle,,Enregistrer l'événement
review.annotations.title,Title for the annotations accordion section in review,Annotations
review.birthRegistration.queryError,The error message shown when a query fails,Une erreur s'est produite lors de la récupération de l'enregistrement de la naissance
review.button.approve,Label for Send For Approval button,Envoyer pour approbation
review.declare.confirmModal.title,The title for review action modal when declaring,Déclarer l'événement?
review.declare.incomplete.confirmModal.title,The title for review action modal when declaring,Notifier l'événement?
review.documentViewer.title,Label for Supporting documents section,Documents d'appui
review.documents.editDocuments,Edit documents text,Ajouter une pièce jointe
review.documents.zeroDocumentsText,Zero documents text,"Aucune pièce justificative pour  {section, select, child {child} mother {mother} father {father} deceased {deceased} informant {informant} other {Parent}}"
review.documents.zeroDocumentsTextForAnySection,Zero documents text,Aucune pièce justificative
review.edit.modal.backToPreview,Preview button on edit modal,Retour à l'aperçu
review.edit.modal.confirmationText,Edit modal confirmation text,Un enregistrement sera créé pour toutes les modifications que vous apporterez.
review.edit.modal.confirmationTitle,Edit modal confirmation title,Modifier la déclaration ?
review.error.unauthorized,The error message shown when a query fails,Nous ne sommes pas en mesure de vous afficher cette page
review.form.section.review.name,Form section name for Review,Réviser
review.form.section.review.title,Form section title for Review,Réviser
review.form.title,Review form label for update action,Formulaire de révision
review.header.subject.subjectWitName,Header subject that shows which declaration type to review with informant name,"{eventType, select, birth {Naissance} death {Décès} other {Mariage}} declaration for {name}"
review.header.subject.subjectWithoutName,Header subject that shows which declaration type to review,"{eventType, select, birth {Naissance} death {Décès} other {Marriage}} Déclaration"
review.header.title.govtName,Header title that shows govt name,République du Farajaland
review.inputs.additionalComments,Label for input Additional comments,Des commentaires supplémentaires ?
review.inputs.brideSignature,Label for informants signature input,Signature de la mariée
review.inputs.groomSignature,Label for informants signature input,Signature du marié
review.inputs.informantsSignature,Label for informants signature input,Signature de l'informateur
review.inputs.supportingDocuments,Section heading title for supporting documents,Documents justificatifs
review.inputs.terms,Label for signature terms,"Nous, les soussignés, déclarons sous peine de parjure en vertu des lois du Farajaland que les informations ci-dessus sont vraies et correctes au mieux de nos connaissances et de nos convictions. Nous déclarons également qu'aucune objection légale au mariage n'est connue et demandons par la présente un certificat de mariage."
review.inputs.witnessOneSignature,Label for informants signature input,Signature du témoin 1
review.inputs.witnessTwoSignature,Label for informants signature input,Signature du témoin 2
review.modal.desc.submitConfirmation,Submit description text on modal,"{completeDeclaration, select, true {Cette déclaration sera envoyée au greffier pour qu'il l'examine.} other {Cette déclaration sera envoyée au greffier pour être complétée. Veuillez informer l'informateur qu'il devra se présenter au bureau avec les informations manquantes et les documents justificatifs.}}"
review.modal.title.registerConfirmation,Title for register confirmation modal,Enregistrer l'événement?
review.modal.title.submitConfirmation,Submit title text on modal,"{completeDeclaration, select, true {Envoyer la déclaration pour examen?} other {Envoyer une déclaration incomplète?}}"
review.register.confirmModal.title,The title for review action modal when registering,Enregistrer cet {event}?
review.rej.form.reasons.missSupDoc,Label for rejection option missing supporting doc,Documents justificatifs manquants
review.rejection.form,Rejection form name,Formulaire de rejet
review.rejection.form.commentLabel,,Commentaires ou instructions à l'intention de l'agent de santé pour rectifier la déclaration
review.rejection.form.instruction,Rejection form instruction,Veuillez décrire les mises à jour nécessaires à cet enregistrement pour le suivi de l'action.
review.rejection.form.reasons,Rejection reasons checkbox label,Raison(s) du rejet :
review.rejection.form.reasons.duplicate,Label for rejection option duplicate,Déclaration en double
review.rejection.form.reasons.markDuplicate,Label for rejection option duplicate,Marquer comme duplicata
review.rejection.form.reasons.misspelling,Label for rejection option misspelling,Mauvaise orthographe
review.rejection.form.reasons.other,Label for rejection option other,Autre
review.rejection.form.submitButton,Rejection form submit button,Soumettre le rejet
review.rejection.form.title,Rejection form title,Quelle mise à jour la déclaration nécessite-t-elle ?
review.signature.clear,Label for button that clear signature input,Supprimer
review.signature.delete,Label for button that deletes signature,Supprimer
review.signature.description,Label awknowledging the correctness of the declaration,"Je soussigné(e) déclare par la présente que les informations contenues dans ce formulaire sont, à ma connaissance, vraies et correctes."
review.signature.input.description,Description awknowledging the correctness of the declaration,"En signant ce document avec une signature électronique, j'accepte que cette signature soit valable comme les signatures manuscrites dans la mesure où les lois du Farajaland le permettent."
review.signature.open,Label for button that opens the signature input,Signer
saveAndExit.desc.saveDeclarationConfirm,Description for save declaration confirmation modal,Toutes les données saisies seront conservées en toute sécurité pour de futures modifications. Êtes-vous prêt à enregistrer les modifications apportées à ce formulaire de déclaration?
saveAndExit.title.saveDeclarationConfirm,Title for save declaration confirmation modal,Enregistrer et quitter?
search.advancedSearch.result.title,Advanced search result title,résultat de la recherche pour ({count})
search.bookmark.error.notification,Error Notification messages for bookmark advanced search result,"Désolé, quelque chose s'est mal passé. Veuillez réessayer"
search.bookmark.loading.notification,Loading Notification messages for bookmark advanced search result,Mettre en signet les résultats de votre recherche avancée...
search.bookmark.remove.loading.notification,Loading Notification messages for remove advanced search bookmark,Suppression de votre signet de recherche avancée...
search.bookmark.remove.success.notification,Success Notification messages for remove advanced search bookmark,Votre signet de recherche avancée a été supprimé avec succès
